SIMULACION PARA EL MODELO - REPLICA #1

Tiempo_t		N(t)	r_llegada	ste_llegas	r_servicio 	st_servicio		s_llegada	s_salida	s_evento
0.0000			0		0.7355		4.6084		-------		-------			4.6084		-------		Llegada
4.6084			1		0.4090		13.4115		0.3422		13.9397			18.0199		18.5481		Llegada
18.0199			2		0.4806		10.9897		0.5181		8.5498			29.0096		18.5481		Salida
18.5481			1		-------		-------		-------		-------			29.0096		26.5696		Salida
26.5696			0		-------		-------		-------		-------			29.0096		-------		Llegada
29.0096			1		0.9961		0.0581		0.6405		5.7913			29.0677		34.8009		Llegada
29.0677			2		0.1367		29.8529		0.4906		9.2578			58.9206		34.8009		Salida
34.8009			1		-------		-------		-------		-------			58.9206		38.3254		Salida
38.3254			0		-------		-------		-------		-------			58.9206		-------		Llegada
58.9206			1		0.2112		23.3260		0.9324		0.9104			82.2465		59.8310		Salida
59.8310			0		-------		-------		-------		-------			82.2465		-------		Llegada
82.2465			1		0.0441		46.8137		0.4585		10.1369			129.0603	92.3835	Salida
92.3835			0		-------		-------		-------		-------			129.0603	-------		Llegada
129.0603		1		0.8530		2.3845		0.1956		21.2150			131.4447	150.2753	Llegada
131.4447		2		0.4474		12.0632		0.1910		21.5245			143.5079	150.2753	Llegada
143.5079		3		0.9121		1.3798		0.2547		17.7774			144.8877	150.2753	Llegada
144.8877		4		0.9893		0.1618		0.8300		2.4221			145.0495	147.3097	Llegada
145.0495		5		0.7816		3.6970		-------		-------			148.7465	147.3097	Salida
147.3097		4		-------		-------		0.6225		6.1613			148.7465	150.2753	Llegada
148.7465		5		0.7823		3.6821		-------		-------			152.4286	150.2753	Salida
150.2753		4		-------		-------		0.2048		20.6118			152.4286	152.9693	Llegada
152.4286		5		0.8835		1.8579		-------		-------			154.2865	152.9693	Salida
152.9693		4		-------		-------		0.7381		3.9473			154.2865	153.4711	Salida
153.4711		3		-------		-------		-------		-------			154.2865	156.9166	Llegada
154.2865		4		0.4166		13.1340		0.3027		15.5357			167.4205	156.9166	Salida
156.9166		3		-------		-------		-------		-------			167.4205	161.2852	Salida
161.2852		2		-------		-------		-------		-------			167.4205	169.8222	Llegada
167.4205		3		0.1140		32.5705		0.2788		16.6056			199.9910	169.8222	Salida
169.8222		2		-------		-------		-------		-------			199.9910	170.8871	Salida
170.8871		1		-------		-------		-------		-------			199.9910	184.0261	Salida
184.0261		0		-------		-------		-------		-------			199.9910	-------		Llegada
199.9910		1		0.0382		48.9842		0.5230		8.4263			248.9752	208.4173	Salida
208.4173		0		-------		-------		-------		-------			248.9752	-------		Llegada
248.9752		1		0.6210		7.1464		0.5188		8.5309			256.1216	257.5061	Llegada
256.1216		2		0.0411		47.8937		0.6171		6.2747			304.0153	257.5061	Salida
257.5061		1		-------		-------		-------		-------			304.0153	262.3963	Salida
262.3963		0		-------		-------		-------		-------			304.0153	-------		Llegada
304.0153		1		0.1593		27.5526		0.1777		22.4580			331.5678	326.4733	Salida
326.4733		0		-------		-------		-------		-------			331.5678	-------		Llegada
331.5678		1		0.1077		33.4219		0.3705		12.9079			364.9897	344.4757	Salida
344.4757		0		-------		-------		-------		-------			364.9897	-------		Llegada
364.9897		1		0.1101		33.0975		0.1518		24.5035			398.0872	389.4932	Salida
389.4932		0		-------		-------		-------		-------			398.0872	-------		Llegada
398.0872		1		0.8290		2.8128		0.9631		0.4886			400.9000	398.5758	Salida
398.5758		0		-------		-------		-------		-------			400.9000	-------		Llegada
