738.285	2	0.297436	18.1884	0.808446	2.76433	756.474	741.05	Salida
741.05	1	0	0	0	0	756.474	742.744	Salida
742.744	0	0	0	0	0	756.474	0	Llegada
756.474	1	0.77125	3.89614	0.11724	27.8659	760.37	784.34	Llegada
760.37	2	0.754094	4.23357	0.895424	1.43595	764.603	761.806	Salida
761.806	1	0	0	0	0	764.603	784.34	Llegada
764.603	2	0.16708	26.8392	0.15547	24.1969	791.443	784.34	Salida
784.34	1	0	0	0	0	791.443	788.8	Salida
788.8	0	0	0	0	0	791.443	0	Llegada
791.443	1	0.402759	13.6413	0.545883	7.86956	805.084	799.312	Salida
799.312	0	0	0	0	0	805.084	0	Llegada
805.084	1	0.324719	16.8719	0.840378	2.26074	821.956	807.345	Salida
807.345	0	0	0	0	0	821.956	0	Llegada
821.956	1	0.241743	21.2982	0.988009	0.156831	843.254	822.113	Salida
822.113	0	0	0	0	0	843.254	0	Llegada
843.254	1	0.182828	25.4881	0.378711	12.6228	868.742	855.877	Salida
855.877	0	0	0	0	0	868.742	0	Llegada
868.742	1	0.980425	0.296533	0.225351	19.3712	869.039	888.113	Llegada
869.039	2	0.876121	1.98377	0.927611	0.976856	871.022	870.015	Salida
870.015	1	0	0	0	0	871.022	888.113	Llegada
871.022	2	0.544188	9.1269	0.0723859	34.1347	880.149	888.113	Llegada
880.149	3	0.162896	27.2196	0.439456	10.6888	907.369	888.113	Salida
888.113	2	0	0	0	0	907.369	890.838	Salida
890.838	1	0	0	0	0	907.369	905.157	Salida
905.157	0	0	0	0	0	907.369	0	Llegada
907.369	1	0.312396	17.4522	0.176852	22.5218	924.821	929.891	Llegada
924.821	2	0.490673	10.6796	0.630094	6.00452	935.501	929.891	Salida
929.891	1	0	0	0	0	935.501	930.826	Salida
930.826	0	0	0	0	0	935.501	0	Llegada
935.501	1	0.538001	9.29841	0.342332	13.9357	944.799	949.436	Llegada
944.799	2	0.219722	22.7309	0.835437	2.33741	967.53	947.137	Salida
947.137	1	0	0	0	0	967.53	949.436	Salida
949.436	0	0	0	0	0	967.53	0	Llegada
967.53	1	0.150778	28.3792	0.990972	0.1179	995.909	967.648	Salida
967.648	0	0	0	0	0	995.909	0	Llegada
995.909	1	0.952677	0.727196	0.904872	1.2995	996.636	997.209	Llegada
996.636	2	0.886396	1.80888	0.119757	27.5898	998.445	997.209	Salida
997.209	1	0	0	0	0	998.445	1024.23	Llegada
998.445	2	0.0603427	42.1157	0.289155	16.1303	1040.56	1014.58	Salida
1014.58	1	0	0	0	0	1040.56	1024.23	Salida
1024.23	0	0	0	0	0	1040.56	0	Llegada
1040.56	1	0.66564	6.1051	0.385061	12.4066	1046.67	1052.97	Llegada
