SIMULACION PARA EL MODELO - REPLICA #1

Tiempo_t	N(t)	r_llegada	ste_llegas	r_servicio 	st_servicio	s_llegada	s_salida	s_evento
0.0000	0	0.3455	15.9420	-------	-------	15.9420	-------	Llegada
15.9420	1	0.6949	5.4591	0.4706	9.7974	21.4010	25.7394	Llegada
21.4010	2	0.1570	27.7699	0.5896	6.8670	49.1709	25.7394	Salida
25.7394	1	-------	-------	-------	-------	49.1709	28.2681	Salida
28.2681	0	-------	-------	-------	-------	49.1709	-------	Llegada
49.1709	1	0.2391	21.4613	0.0480	39.4854	70.6323	88.6563	Llegada
70.6323	2	0.7419	4.4772	0.5789	7.1062	75.1094	77.7384	Llegada
75.1094	3	0.6487	6.4927	0.2629	17.3701	81.6021	77.7384	Salida
77.7384	2	-------	-------	-------	-------	81.6021	88.6563	Llegada
81.6021	3	0.2285	22.1465	0.2814	16.4820	103.7486	88.6563	Salida
88.6563	2	-------	-------	-------	-------	103.7486	92.4795	Salida
92.4795	1	-------	-------	-------	-------	103.7486	98.0842	Salida
98.0842	0	-------	-------	-------	-------	103.7486	-------	Llegada
103.7486	1	0.7788	3.7507	0.1294	26.5845	107.4993	130.3331	Llegada
107.4993	2	0.6974	5.4059	0.0163	53.4902	112.9052	130.3331	Llegada
112.9052	3	0.7361	4.5968	0.9832	0.2203	117.5019	113.1255	Salida
113.1255	2	-------	-------	-------	-------	117.5019	130.3331	Llegada
117.5019	3	0.7667	3.9856	0.8054	2.8127	121.4875	120.3146	Salida
120.3146	2	-------	-------	-------	-------	121.4875	130.3331	Llegada
121.4875	3	0.4449	12.1483	0.6280	6.0486	133.6359	127.5362	Salida
127.5362	2	-------	-------	-------	-------	133.6359	130.3331	Salida
130.3331	1	-------	-------	-------	-------	133.6359	160.9894	Llegada
133.6359	2	0.7171	4.9881	0.4780	9.5962	138.6240	143.2321	Llegada
138.6240	3	0.3191	17.1348	0.3482	13.7165	155.7588	143.2321	Salida
143.2321	2	-------	-------	-------	-------	155.7588	152.3404	Salida
152.3404	1	-------	-------	-------	-------	155.7588	160.9894	Llegada
155.7588	2	0.8867	1.8033	0.3465	13.7773	157.5621	160.9894	Llegada
157.5621	3	0.8769	1.9697	0.9572	0.5682	159.5318	158.1303	Salida
158.1303	2	-------	-------	-------	-------	159.5318	160.9894	Llegada
159.5318	3	0.6920	5.5222	0.5719	7.2648	165.0540	160.9894	Salida
160.9894	2	-------	-------	-------	-------	165.0540	166.7966	Llegada
165.0540	3	0.4279	12.7336	0.8490	2.1274	177.7876	166.7966	Salida
166.7966	2	-------	-------	-------	-------	177.7876	167.1814	Salida
167.1814	1	-------	-------	-------	-------	177.7876	169.5361	Salida
169.5361	0	-------	-------	-------	-------	177.7876	-------	Llegada
177.7876	1	0.1615	27.3465	0.6670	5.2643	205.1341	183.0520	Salida
183.0520	0	-------	-------	-------	-------	205.1341	-------	Llegada
205.1341	1	0.8970	1.6304	0.9035	1.3196	206.7645	206.4538	Salida
206.4538	0	-------	-------	-------	-------	206.7645	-------	Llegada
206.7645	1	0.2459	21.0420	0.5457	7.8748	227.8065	214.6393	Salida
214.6393	0	-------	-------	-------	-------	227.8065	-------	Llegada
227.8065	1	0.1663	26.9072	0.4744	9.6953	254.7137	237.5017	Salida
237.5017	0	-------	-------	-------	-------	254.7137	-------	Llegada
254.7137	1	0.8271	2.8474	0.9451	0.7342	257.5611	255.4478	Salida
255.4478	0	-------	-------	-------	-------	257.5611	-------	Llegada
257.5611	1	0.6037	7.5691	0.5245	8.3890	265.1302	265.9500	Llegada
265.1302	2	0.9614	0.5901	0.3398	14.0322	265.7203	265.9500	Llegada
265.7203	3	0.5077	10.1680	0.7281	4.1253	275.8883	265.9500	Salida
265.9500	2	-------	-------	-------	-------	275.8883	269.8456	Salida
269.8456	1	-------	-------	-------	-------	275.8883	279.1624	Llegada
275.8883	2	0.1452	28.9400	0.9526	0.6312	304.8283	276.5195	Salida
276.5195	1	-------	-------	-------	-------	304.8283	279.1624	Salida
279.1624	0	-------	-------	-------	-------	304.8283	-------	Llegada
